Слово,"Частота встречи, раз",Частота встречаемости в %
abbyy,3,0.0005125743019165154
www,1,0.00017085810063883846
tolstoy,3,0.0005125743019165154
ru,4,0.0006834324025553538
report,1,0.00017085810063883846
readingtolstoy,1,0.00017085810063883846
finereader,1,0.00017085810063883846
reproduction,1,0.00017085810063883846
libre,1,0.00017085810063883846
pour,116,0.01981953967410526
tous,21,0.003588020113415607
les,236,0.04032251175076587
pays,3,0.0005125743019165154
ii,1125,0.19221536321869323
iii,383,0.06543865254467512
iv,292,0.049890565386540825
vi,90,0.01537722905749546
vii,92,0.015718945258773136
viii,88,0.015035512856217782
ix,95,0.01623151956068965
xi,91,0.015548087158134298
xii,99,0.016914951963245006
xiii,89,0.01520637095685662
xiv,89,0.01520637095685662
xv,86,0.014693796654940108
xvi,94,0.016060661460050814
xvii,78,0.013326931849829396
xviii,83,0.014181222353023592
xix,87,0.014864654755578945
xx,54,0.009226337434497276
xxi,50,0.008542905031941921
xxii,38,0.00649260782427586
xxiii,31,0.005296601119803992
xxiv,25,0.004271452515970961
xxv,27,0.004613168717248638
xxvi,22,0.0037588782140544454
xxvii,17,0.0029045877108602536
xxviii,16,0.0027337296102214153
xxix,16,0.0027337296102214153
xxx,15,0.002562871509582576
xxxi,16,0.0027337296102214153
xxxii,16,0.0027337296102214153
xxxiii,16,0.0027337296102214153
xxxiv,16,0.0027337296102214153
xxxv,11,0.0018794391070272227
xxxvi,13,0.0022211553083048997
xxxvii,11,0.0018794391070272227
xxxviii,11,0.0018794391070272227
xxxix,10,0.0017085810063883844
eh,32,0.005467459220442831
bien,84,0.014352080453662429
mon,194,0.033146471523934656
prince,46,0.007859472629386568
et,318,0.05433287600315062
lucques,2,0.0003417162012776769
ne,155,0.02648300559901996
sont,34,0.005809175421720507
plus,84,0.014352080453662429
que,287,0.04903627488334663
des,121,0.02067383017729945
apanages,1,0.00017085810063883846
de,685,0.11703779893760434
la,348,0.05945861902231578
famille,5,0.0008542905031941922
buonaparte,11,0.0018794391070272227
non,40,0.006834324025553538
je,280,0.04784026817887477
vous,413,0.07056439556384028
si,69,0.011789208944079851
me,106,0.018110958667716875
dites,30,0.005125743019165152
pas,167,0.028533302806686017
nous,119,0.020332113976021773
avons,5,0.0008542905031941922
guerre,29,0.004954884918526315
permettez,2,0.0003417162012776769
encore,18,0.003075445811499092
pallier,1,0.00017085810063883846
toutes,15,0.002562871509582576
infamies,1,0.00017085810063883846
cet,23,0.003929736314693284
antichrist,1,0.00017085810063883846
ma,127,0.021698978781132482
parole,13,0.0022211553083048997
crois,6,0.0010251486038330307
connais,8,0.0013668648051107077
ami,22,0.0037588782140544454
comme,78,0.013326931849829396
vois,9,0.001537722905749546
fais,4,0.0006834324025553538
peur,9,0.001537722905749546
avez,35,0.005980033522359346
rien,19,0.00324630391213793
mieux,12,0.0020502972076660614
faire,42,0.007176040226831214
le,356,0.06082548382742648
comte,16,0.0027337296102214153
perspective,1,0.00017085810063883846
passer,3,0.0005125743019165154
chez,14,0.002392013408943738
une,129,0.02204069498241016
pauvre,32,0.005467459220442831
malade,4,0.0006834324025553538
effraye,1,0.00017085810063883846
trop,14,0.002392013408943738
serai,6,0.0010251486038330307
voir,18,0.003075445811499092
moi,55,0.009397195535136115
entre,16,0.0027337296102214153
heures,3,0.0005125743019165154
annette,17,0.0029045877108602536
scherer,1,0.00017085810063883846
dieu,34,0.005809175421720507
quelle,11,0.0018794391070272227
virulente,1,0.00017085810063883846
sortie,1,0.00017085810063883846
avant,10,0.0017085810063883844
tout,91,0.015548087158134298
comment,15,0.002562871509582576
allez,18,0.003075445811499092
amie,16,0.0027337296102214153
avoue,5,0.0008542905031941922
ces,24,0.004100594415332123
feux,1,0.00017085810063883846
artifice,1,0.00017085810063883846
commencent,1,0.00017085810063883846
devenir,5,0.0008542905031941922
insipides,1,0.00017085810063883846
tourmentez,1,0.00017085810063883846
qu,125,0.021357262579854805
on,85,0.014522938554301267
par,39,0.006663465924914698
rapport,4,0.0006834324025553538
novosilzoff,1,0.00017085810063883846
savez,23,0.003929736314693284
ses,19,0.00324630391213793
vaisseaux,1,0.00017085810063883846
sommes,12,0.0020502972076660614
en,131,0.022382411183687834
train,2,0.0003417162012776769
notres,1,0.00017085810063883846
cette,46,0.007859472629386568
fameuse,2,0.0003417162012776769
prussienne,1,0.00017085810063883846
ce,155,0.02648300559901996
est,322,0.05501630840570598
un,170,0.029045877108602534
propos,6,0.0010251486038330307
vicomte,16,0.0027337296102214153
mortemart,6,0.0010251486038330307
il,225,0.03844307264373865
aux,20,0.003417162012776769
montmorency,3,0.0005125743019165154
rohans,3,0.0005125743019165154
sire,30,0.005125743019165152
baron,2,0.0003417162012776769
monsieur,21,0.003588020113415607
funke,1,0.00017085810063883846
sa,30,0.005125743019165152
soeur,5,0.0008542905031941922
beaucoup,14,0.002392013408943738
estime,5,0.0008542905031941922
mais,94,0.016060661460050814
votre,69,0.011789208944079851
fait,39,0.006663465924914698
monde,18,0.003075445811499092
trouve,8,0.0013668648051107077
belle,15,0.002562871509582576
jour,11,0.0018794391070272227
voulez,6,0.0010251486038330307
lafater,2,0.0003417162012776769
aurait,13,0.0022211553083048997
dit,34,0.005809175421720507
ai,74,0.012643499447274043
bosse,2,0.0003417162012776769
suie,1,0.00017085810063883846
seule,4,0.0006834324025553538
puis,16,0.0027337296102214153
avouer,1,0.00017085810063883846
entraves,1,0.00017085810063883846
existence,3,0.0005125743019165154
ont,24,0.004100594415332123
manie,1,0.00017085810063883846
mariages,3,0.0005125743019165154
petite,12,0.0020502972076660614
personne,5,0.0008542905031941922
parente,1,0.00017085810063883846
avantage,1,0.00017085810063883846
malheureuse,3,0.0005125743019165154
pierres,1,0.00017085810063883846
lise,11,0.0018794391070272227
ecoutez,2,0.0003417162012776769
arrangez,1,0.00017085810063883846
affaire,8,0.0013668648051107077
suis,36,0.006150891622998184
jamais,27,0.004613168717248638
pan,1,0.00017085810063883846
attendez,7,0.001196006704471869
femme,20,0.003417162012776769
du,109,0.018623532969633393
jeune,22,0.0037588782140544454
sera,7,0.001196006704471869
dans,87,0.014864654755578945
ferai,4,0.0006834324025553538
apprentissage,2,0.0003417162012776769
vieille,2,0.0003417162012776769
fille,8,0.0013668648051107077
tante,19,0.00324630391213793
partie,3,0.0005125743019165154
ouvrage,4,0.0006834324025553538
jouez,1,0.00017085810063883846
mauvais,7,0.001196006704471869
tour,4,0.0006834324025553538
toute,8,0.0013668648051107077
voyez,15,0.002562871509582576
soyez,6,0.0010251486038330307
tranquille,4,0.0006834324025553538
serez,2,0.0003417162012776769
toujours,18,0.003075445811499092
jolie,2,0.0003417162012776769
mari,3,0.0005125743019165154
abandonne,2,0.0003417162012776769
va,14,0.002392013408943738
se,55,0.009397195535136115
tuer,1,0.00017085810063883846
pourquoi,9,0.001537722905749546
vilaine,3,0.0005125743019165154
princesse,16,0.0027337296102214153
aimable,3,0.0005125743019165154
pierre,29,0.004954884918526315
venu,4,0.0006834324025553538
ah,52,0.008884621233219599
voyons,9,0.001537722905749546
contez,2,0.0003417162012776769
cela,21,0.003588020113415607
louis,5,0.0008542905031941922
personnellement,2,0.0003417162012776769
connu,2,0.0003417162012776769
monseigneur,10,0.0017085810063883844
parfait,2,0.0003417162012776769
conteur,1,0.00017085810063883846
voit,8,0.0013668648051107077
homme,58,0.00990976983705263
bonne,23,0.003929736314693284
compagnie,7,0.001196006704471869
madame,19,0.00324630391213793
crains,4,0.0006834324025553538
mes,28,0.004784026817887476
moyens,5,0.0008542905031941922
devant,4,0.0006834324025553538
pareil,1,0.00017085810063883846
auditoire,1,0.00017085810063883846
vais,2,0.0003417162012776769
prendre,5,0.0008542905031941922
quoi,4,0.0006834324025553538
pensez,4,0.0006834324025553538
apportez,2,0.0003417162012776769
ridicule,14,0.002392013408943738
charmant,21,0.003588020113415607
histoire,9,0.001537722905749546
revenants,2,0.0003417162012776769
cher,65,0.011105776541524498
histoires,1,0.00017085810063883846
cuisse,1,0.00017085810063883846
nymphe,1,0.00017085810063883846
george,2,0.0003417162012776769
droit,12,0.0020502972076660614
gens,7,0.001196006704471869
koutouzoff,6,0.0010251486038330307
zoff,1,0.00017085810063883846
voulu,4,0.0006834324025553538
aide,4,0.0006834324025553538
camp,6,0.0010251486038330307
bon,15,0.002562871509582576
enfant,15,0.002562871509582576
fois,15,0.002562871509582576
gardes,2,0.0003417162012776769
au,61,0.010422344138969145
revoir,6,0.0010251486038330307
basile,9,0.001537722905749546
sacre,1,0.00017085810063883846
milan,1,0.00017085810063883846
nouvelle,9,0.001537722905749546
peuples,4,0.0006834324025553538
qui,126,0.021528120680493642
viennent,2,0.0003417162012776769
leurs,4,0.0006834324025553538
voeux,2,0.0003417162012776769
assis,1,0.00017085810063883846
sur,33,0.0056383173210816685
nations,2,0.0003417162012776769
adorable,3,0.0005125743019165154
folle,1,0.00017085810063883846
dirait,3,0.0005125743019165154
entier,1,0.00017085810063883846
perdu,6,0.0010251486038330307
donne,7,0.001196006704471869
gare,1,0.00017085810063883846
touche,1,0.00017085810063883846
beau,20,0.003417162012776769
paroles,1,0.00017085810063883846
dio,1,0.00017085810063883846
mi,1,0.00017085810063883846
dona,1,0.00017085810063883846
guai,1,0.00017085810063883846
chi,2,0.0003417162012776769
tocca,2,0.0003417162012776769
enfin,6,0.0010251486038330307
goutte,1,0.00017085810063883846
eau,1,0.00017085810063883846
fera,14,0.002392013408943738
verre,2,0.0003417162012776769
souverains,6,0.0010251486038330307
peuvent,3,0.0005125743019165154
supporter,2,0.0003417162012776769
menace,1,0.00017085810063883846
parle,9,0.001537722905749546
russie,10,0.0017085810063883844
ils,26,0.004442310616609799
reine,4,0.0006834324025553538
elisabeth,2,0.0003417162012776769
croyez,3,0.0005125743019165154
subissent,1,0.00017085810063883846
punition,1,0.00017085810063883846
leur,19,0.00324630391213793
trahison,3,0.0005125743019165154
cause,6,0.0010251486038330307
bourbons,3,0.0005125743019165154
envoient,1,0.00017085810063883846
ambassadeurs,1,0.00017085810063883846
complimenter,1,0.00017085810063883846
usurpateur,2,0.0003417162012776769
gueules,3,0.0005125743019165154
azur,1,0.00017085810063883846
maison,9,0.001537722905749546
bonaparte,6,0.0010251486038330307
chemin,6,0.0010251486038330307
gloire,4,0.0006834324025553538
ouvert,2,0.0003417162012776769
antichambres,1,0.00017085810063883846
foule,1,0.00017085810063883846
sais,11,0.0018794391070272227
quel,15,0.002562871509582576
point,12,0.0020502972076660614
eu,10,0.0017085810063883844
dire,19,0.00324630391213793
aucun,5,0.0008542905031941922
certaines,2,0.0003417162012776769
depuis,11,0.0018794391070272227
assassinat,3,0.0005125743019165154
duc,8,0.0013668648051107077
martyr,1,0.00017085810063883846
ciel,2,0.0003417162012776769
moins,11,0.0018794391070272227
terre,3,0.0005125743019165154
trouvez,2,0.0003417162012776769
grandeur,3,0.0005125743019165154
oh,23,0.003929736314693284
capital,1,0.00017085810063883846
contrat,6,0.0010251486038330307
social,4,0.0006834324025553538
escamotage,1,0.00017085810063883846
ressemble,2,0.0003417162012776769
nullement,2,0.0003417162012776769
agir,2,0.0003417162012776769
grand,36,0.006150891622998184
roturier,1,0.00017085810063883846
aurez,2,0.0003417162012776769
aujourd,2,0.0003417162012776769
hui,2,0.0003417162012776769
anecdote,1,0.00017085810063883846
moscovite,2,0.0003417162012776769
charmante,11,0.0018794391070272227
faut,34,0.005809175421720507
excusez,1,0.00017085810063883846
raconte,1,0.00017085810063883846
russe,27,0.004613168717248638
autrement,3,0.0005125743019165154
